uuid,level,name,std1,app1,app1(%),app2,app2(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt1,opt1(%),opt2,opt2(%),opt3,opt3(%)
02-4d77598f8c9fc664c4c1ec0687216eb9,2,__isr_table_entry_z_irq_spurious_irq_560,,,,8,,,,,,,,,,8,0,8,0
02-4d8c9a99f9f3d4fb20d71624f6131081,2,__isr_table_entry_z_irq_spurious_irq_547,,,,8,,,,,,,,,,8,0,8,0
02-4d9ff4cae398d7999a2626241a8271ff,2,conn_cbs.lto_priv.0,,,,8,,,,,,,,,,8,0,8,0
02-4dca0eea1036fa7aab82159243056434,2,__isr_table_entry_z_irq_spurious_irq_735,,,,8,,,,,,,,,,8,0,8,0
02-4e5868d676cb634aa75b125a0f741abf,2,flags,,,,4,,,,,,,,,,,,,
02-4ee97f6086ad41bf02d475708cafd6f0,2,gpio_nrfx_p2_cfg.lto_priv.0,,,,24,,,,,,,,,,24,0,24,0
02-4eeb35f940bad3fd21cfb1a041afd313,2,__isr_table_entry_z_irq_spurious_irq_764,,,,8,,,,,,,,,,8,0,8,0
02-4f2eabb2ebb9594b2fd440a6d24b4c5e,2,__isr_table_entry_z_irq_spurious_irq_591,,,,8,,,,,,,,,,8,0,8,0
02-4f3ea50b05fd2c7061dc7c52e5453755,2,__isr_table_entry_z_irq_spurious_irq_722,,,,8,,,,,,,,,,8,0,8,0
02-50028adf0338f63f0a559b136cffd118,2,free_tx,,,,28,,,,,,,,,,28,0,28,0
02-50484c19f1afdaf3841a0d821ed393d2,2,kernel,2458,2458,0.0,,,2458,0.0,2458,0.0,2458,0.0,2458,0.0,,,,
