uuid,level,name,std1,stdz1,stdz1(%),opt1,opt1(%),app1,app1(%),app2,app2(%),feat1,feat1(%),feat2,feat2(%),feat3,feat3(%),feat4,feat4(%),feat5,feat5(%),feat6,feat6(%),feat7,feat7(%),feat8,feat8(%),feat9,feat9(%),feat10,feat10(%)
02-44819ed8ffb16a197167dc84918ffc76,2,last_adv_mode.1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
02-44bc0db5d2dd6c5374bff9488d9fe398,2,sdc_hci_cmd_lc_read_remote_version_information,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-4652480a53d1dd1883fa73da28d772b7,2,mpsl_calibration_timer_handle,28,,,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0
02-4687293ff1fdc5b845e8e1f2080248df,2,delay_machine_code.0,6,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0
02-46f42a309d6661f02bd58b91fbc8c1e4,2,__device_dts_ord_112,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-4701b0b9ce625dd7502bfe7640e0cf00,2,sdc_hci_data_put,20,,,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0
02-47a8c6a340ad4255425a41f79b3fc16b,2,ocrypto_ecdh_p256_common_secret,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,
02-48336f97627afcf4d600f9dc71f52a8a,2,__extendsfdf2,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,
02-4884926a5614179cef591cbdbfd81742,2,ocrypto_curve_p256_to32bytes,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
02-48908c8566b67c17bb119dbb45f38fd7,2,__compound_literal*,,,,,,,,,,,,,,,,,,,,566,,,,,,301,0,301,0
02-49f11bd7ec7368affe1bd3de7ce9bc97,2,ocrypto_aes_decrypt_key_schedule,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
02-4b3426d0b89b995d5aac3db2bf4bbdb2,2,sdc_hci_cmd_le_cs_procedure_enable,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
02-4b99ff73a8a869319570237b5c57ab03,2,strstr,,,,,,,,,,,,,,,,,,,,,,,,,,44,,44,0
02-4bad7a6401e781b067bb23360f2a14dc,2,sdc_hci_cmd_vs_zephyr_read_static_addresses,72,,,72,0.0,72,0.0,72,0.0,72,0.0,72,0.0,72,0.0,72,0.0,72,0.0,72,0.0,72,0.0,72,0.0,72,0.0,72,0.0
02-4c1212de781c372519dac7ae0120762e,2,sdc_hci_cmd_le_enable_encryption,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-4debb5b0347a8203e26a640e0e30ebbb,2,sdc_hci_cmd_le_set_ext_scan_enable,,,,,,,,,,,,,,,,4,,,,,,,,4,0,,,,
02-4e6a9f14c548489566d2e6c0cb94db28,2,radio_pkt_tx_set,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-4f08364e11e4231c76eae6967641ffbd,2,att_handle_read_mult_vl_rsp,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
