uuid,level,name,std1
04-1dc1a77ff1e603ed1433c5fb75225a8d,4,k_work_reschedule,12
04-1dece2ac80550fdd68a82297f318b9c5,4,hash_func32_murmur3.c,128
04-1e2d0b6be84de982274cd5a53709de3a,4,k_free,14
04-1ecd1f898ddef5c0af689be553f7f0c2,4,z_ready_thread,30
04-1ef7df50f8a76aca9ea976aa58a42ebb,4,printk.c,94
04-20d5197dbf8752a5b0fa2d7a2107325e,4,k_sched_lock,40
04-226c4837a7a3645f1dc3275751a9d1ee,4,kernel_offsets.h,2
04-226fdad7607bd525becdb0fb68597472,4,i2c_nrfx_twim.c,558
04-23376a89e82a626a48e69cd586ded0a9,4,spi_nrfx_common.c,176
04-2449d96743f4b0c823bd8cc77fee0ca5,4,i2c_nrfx_twim_common.c,332
04-245ff9ba63d7c2a5ee035b6eef70f584,4,heap.h,140
04-248d7cd65b618004dbd5f44e96b8cd61,4,fatal_error,8
04-25586d1be3b7cda1a2b5a7a6ae72d29a,4,spi_context.h,134
04-258ce570f80b33058fe56e95f20a1871,4,move_thread_to_end_of_prio_q,144
04-25d902c24283ab8cfbac54dfa101ad31,4,src,2174
04-2a13cf965f7b483b8e351268c2b4e66c,4,z_reset_time_slice,80
04-2b11d86b0243d30492def87b21aacf45,4,unready_thread,84
04-2b25641e6091db71283d0040dfe80851,4,z_impl_k_queue_get,100
04-2e10bb7c02d5c459836c8933d6424935,4,multithreading_lock,48
04-302f5a12294cef9f1b0aae5edde76fd9,4,z_queue_node_peek,24
04-3049876d1ce646cb988c2febc3d29c7d,4,pinctrl_nrf.c,373
04-341cd76b3f8c1e47460c74119a32d5c2,4,queue_insert,216
04-35a16cf4cdfd97851aaf66a87ce40403,4,z_sys_init_run_level,44
04-3667946dd2bdf71757238d75f687ecc7,4,z_fatal_error,48
04-36bcbb801f5052739af8220c6ea51434,4,sys,592
04-3708d929a2b407dbff88e4b387a518dd,4,k_sched_unlock,104
04-370cda16c9ffc7a76e7b87d09aac96e7,4,mem_attr.c,12
04-3cee56353918791ce945714f8b14af7d,4,k_work_cancel_delayable_sync,96
04-3d95730dc1a55bac0f041052e6a42afa,4,sys_clock_announce,188
04-3de6661f41f50469fcc6579ff2d64696,4,cancel_sync_locked,60
04-3fad692e69c65bb501e42fc26a64a87c,4,pwm_nrfx.c,586
04-40c0e45b5ad2bc6402587f5d8765de60,4,entropy_psa_crypto.c,54
04-4174fb6df17ca451b51d219eb3ed9f26,4,k_work_queue_start,124
04-44c8575cd10d543dc1da875941b7dee3,4,generated,2
04-45b3f74ca62a9198742488bae60b5c89,4,z_impl_k_sem_take,76
04-45e47eb9495d8d9c0497e495b0fe94c3,4,CMSIS_5.3.0,72
04-472ede55d1ee9405709ab843e4c1e03e,4,remove_timeout,56
04-477e6e70eb69822d8389b115e8fa7d2a,4,z_timer_expiration_handler,224
04-47db9e75b36ec76d37d2d358b6f39565,4,onoff.c,910
04-485dc3214a88f47eb4e1c97a287e2924,4,z_setup_new_thread,132
04-487a0fd6cdb373c1fc660bf90c0a296e,4,z_cstart,220
04-4898eae714a823ef8de5524d804166fe,4,k_mem_slab_free,112
04-4ba815ef377657516b1b31f337773c18,4,z_unpend_thread,16
04-505ff79e906dd83e21bde1490070d3ea,4,flag_test_and_clear,22
04-516ac4c7a5479b8aaa0f59fba659ef8b,4,z_sched_waitq_walk,68
04-56160d37f4c3b198cd878a8a79b7c338,4,z_impl_k_sem_init,32
04-562e1bd4ed09dea6d5cd4d04f873606b,4,z_sched_wait,36
04-56ff009993142d70bcefa00791840477,4,kswap.h,52
