uuid,level,name,std1,stdz1,stdz1(%),sci,sci(%)
02-df0893220c993ffbeb28b75726e081f7,2,nrf,11754,,,,
02-dffef8c5c84dbb62653a82abf81e6beb,2,MPSL_IRQ_RTC0_Handler,24,,,,
02-e0637335fe10794739dca787873fe40b,2,bt_addr_le_none,,7,,7,0
02-e36d737fa4a8cf5074e86f88db7e649d,2,sdc_hci_cmd_le_read_buffer_size,4,,,,
02-e3cece7122bd20a217917fb1e4198b27,2,sdc_hci_cmd_le_subrate_request,4,,,,
02-e3de8bfda49cb34f755453b77dc7359a,2,sdc_hci_cmd_le_encrypt,4,,,,
02-e43ba0f48394441ab7ea863d6da2fcbd,2,mpsl_dppi_fixed_channels_clear,36,,,,
02-e8261dfe87b8844074ad85429056370a,2,sdc_support_dle_central,28,,,,
02-e8acc63b1e238f3255c900eed37254b8,2,lib,3100,2806,-9.48,2806,-9.48
02-e9790f600363be0f8f0a72bf939d18e2,2,sdc_hci_cmd_vs_qos_conn_event_report_enable,12,,,,
02-eb6f5521617ef5229d5f07865b8ace94,2,MPSL_IRQ_TIMER0_Handler,20,,,,
02-ed783acc0af2235151b7bf04c87d5b8a,2,__aeabi_memcpy4,26,,,,
02-ee5fe10904086488b93783648af4b107,2,cracen_initialized.0,4,,,,
02-efb6d2c493d180fb66588b5f6138a1e0,2,pdu_validate_phy_req,,14,,14,0
02-efcd5df1d485cb0a428e9ff99c7cf5bc,2,mpsl_cx_request,12,,,,
02-f1ab11887e0dae965edda2003c9b6ae6,2,sdc_support_peripheral,40,,,,
02-f2e195dc7a14f89f31c36187ecba3710,2,mfy.1,,16,,16,0
02-f41bc883bfb28da6965314aa59a5f14a,2,mpsl_cx_release,12,,,,
02-f4ad0b857c28b50f09fd976cb19e2026,2,pdu_validate_pause_enc_rsp,,14,,14,0
02-f577f6ffd4f764d0e2493f4888c5ab92,2,sdc_hci_cmd_le_remove_device_from_filter_accept_list,4,,,,
02-f93956a45370803544826a6dec09a7bf,2,sdc_hci_cmd_cb_set_event_mask_page_2,10,,,,
02-f95041ea2980b71162eec9a9a3bd2d10,2,sdc_hci_cmd_le_set_scan_params,4,,,,
02-fa557c79fec4ff1bb618b71f82bc2290,2,sdc_hci_cmd_le_set_privacy_mode,4,,,,
02-fc3eebaed2cb0cda8e1f0fa7154015cc,2,sdc_enable,96,,,,
02-fcbd1b6fa454a0157d7a654570d48fae,2,m.8,,16,,16,0
02-fe69fd0a878b10d190c924b2398bad9c,2,drivers,4065,4339,6.74,4339,6.74
02-fee6b94f99e46b490ec27eafc0f0cff1,2,pdu_validate_pause_enc_req,,14,,14,0
02-ff02fe4efedb9216ae16fb00240807db,2,mpsl_fem_lna_configuration_set,12,,,,
03-020a8cfa922969a0b9035333f45988c3,3,ncs,976,976,0.0,976,0.0
03-071c0719c67955bb75a799d3fae5d0c2,3,isr_tables.c,1084,1084,0.0,1084,0.0
03-08f2c7846e02f19ae7b28b995b34587c,3,hal_nordic,6,6,0.0,6,0.0
03-0fea6a13c52b4d4725368f24b045ca84,3,cache,16,16,0.0,16,0.0
03-1a4ed29befb37b814e1adce39b64ef5a,3,kheap.c,246,246,0.0,246,0.0
03-1cb1159e7da1396bb694434a958c45ce,3,init.c,644,630,-2.17,630,-2.17
03-213c7980207cea7201cff8d664caf150,3,clock_control,1082,1222,12.94,1222,12.94
03-220b2a9ccbd0bf6d61dd085da17c5380,3,work.c,904,710,-21.46,710,-21.46
03-239d44f09ba4c853288f72de00e8538b,3,timeout.c,834,834,0.0,834,0.0
