uuid,level,name,std1,app1,app1(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt2,opt2(%)
02-19acc109b30f38c41605a1e2d8261b85,2,l2cap_create_le_sig_pdu,,,,,,,,,,60,
02-19b656b9789705a8f4dfb2af3cf2a183,2,get_status.lto_priv.0,,,,,,,,,,48,
02-19eacfc3c3ad449eac78ce52b9955a20,2,__isr_table_entry__isr_wrapper_irq_304,,,,,,,,,,4,
02-19fc55dc23d46a62d5d51a114b581d45,2,sdc_hci_cmd_vs_conn_update,100,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0
02-1a1b1534005cd20893ad47bee853a01d,2,hids_pm_evt_handler,,,,,,,,,,108,
02-1a98057968bfa064f69d7775005eca2c,2,merge_chunks,,,,,,,,,,60,
02-1acd1f648b570c729a904a7c2fa45dfc,2,__compound_literal*,307,307,0.0,307,0.0,307,0.0,307,0.0,307,0.0
02-1ae4b261b807cd18097ba7e00e603c2c,2,bt_hci_recv,,,,,,,,,,216,
02-1b106abd35545367c66f3cfa318936c7,2,sdc_hci_cmd_vs_get_next_conn_event_counter,30,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0
02-1b7fd3fdfb183f312b94b3e63eeaeb9d,2,perform_auto_initiated_procedures,,,,,,,,,,112,
02-1b86a9d8e7fc1b4ff4b970f5b1f9d63b,2,__isr_table_entry__isr_wrapper_irq_306,,,,,,,,,,4,
02-1b9531846e8967e3cefcd371bf6e6b5f,2,__NVIC_EnableIRQ.lto_priv.0,,,,,,,,,,28,
02-1ba10e7f2448f1e34b6679b652d3063d,2,trng_get_seed.constprop.0,,,,,,,,,,368,
02-1bad3c00dded1e49ada0434ab84bd112,2,__device_dts_ord_4,20,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0
02-1bbc2d69f81381a0467077ac81a6c341,2,bt_hci_le_read_max_data_len,,,,,,,,,,112,
02-1bcc156c95b6976da192dca5d6d7d49e,2,read_appearance.lto_priv.0,,,,,,,,,,36,
02-1bcc31bd812acb4a0751ded8d39586b5,2,pin_trigger_enable.lto_priv.0,,,,,,,,,,224,
02-1bcccd7f1e8a3c336e0756c376318f09,2,__isr_table_entry__isr_wrapper_irq_478,,,,,,,,,,4,
02-1be6cea27559ad9ef46784dca14391d9,2,log_const_bt_sdc_crypto,,,,,,,,,,8,
02-1c29ac0ab69660bfc944d1a913ecda64,2,cq,32,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0
02-1c77af5e3b8d27002575782e59b9b1bf,2,bt_att_released,,,,,,,,,,12,
02-1c784fa8ff30a2e6916fae88b851eef2,2,att_read_group_req,,,,,,,,,,240,
02-1c7a642e3da9ace3bf2f9f3d74389ef5,2,attr_dis_svc,,,,,,,,,,140,
02-1c7c08bfa35032e55ebacbd66b100e6b,2,bt_smp_dhkey_ready,,,,,,,,,,146,
02-1ca833ced63e19d377718abe1e008225,2,pin_in_use_by_te.lto_priv.0,,,,,,,,,,36,
02-1ceb4f06941087b7e65c996cabf65a57,2,__isr_table_entry_z_irq_spurious_irq_754,,,,,,,,,,8,
